Moscou; 2; Chambre; Bricolage, Babysitting; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Pension complète; 29/7/2023; 30/7/2023; -99; 21; 2; 0
Seville; 2; Cabane dans un arbre; Bricolage, Promener les chiens; ; Blanchissage; Pas de transfert; Petit déjeuner; 30/12/2024; 31/12/2024; -99; 86; 2; 2134
Moscou; 2; Cabane dans un arbre; Donner des cours d anglais; ; Piscine, Wifi, Blanchissage; Pas de transfert; Pension complète; 16/9/2022; 17/9/2022; -99; 55; 3; 2135
Draguignan; 6; Cabane dans un arbre; Babysitting, Promener les chiens; Pas d animaux, Non fumeur; Parking, Balade à cheval; Transfert possible; Pension complète; 5/7/2022; 6/7/2022; -99; 70; 1; 2136
Berlin; 5; Chambre; Donner des cours d anglais; ; Blanchissage, Parking, Piscine; Transfert possible; Petit déjeuner; 7/9/2022; 13/9/2022; -99; 50; 3; 2137
Seville; 2; Cabane dans un arbre; Donner des cours d anglais, Babysitting; ; Piscine, Blanchissage, Parking; Pas de transfert; Pension complète; 11/5/2022; 30/5/2022; -99; 51; 2; 2138
Draguignan; 5; Chambre; Babysitting, Promener les chiens; Non fumeur, Pas d animaux; Parking; Pas de transfert; Petit déjeuner; 23/5/2022; 24/5/2022; -99; 62; 3; 2139
Berlin; 5; Cabane dans un arbre; Jardinage; ; Parking; Transfert possible; Pension complète; 15/1/2024; 16/1/2024; -99; 69; 2; 2140
Draguignan; 5; Tente; Donner des cours d anglais; Pas d animaux; Parking; Transfert possible; Petit déjeuner; 20/4/2022; 21/4/2022; -99; 71; 2; 2141
Chartres; 5; Chambre; Promener les chiens; Pas d animaux; Balade à cheval, Piscine, Wifi; Transfert possible; Pension complète; 7/12/2024; 12/12/2024; -99; 20; 2; 2142
Chartres; 4; Chambre; Jardinage; Non fumeur; Parking, Blanchissage, Piscine; Transfert possible; Petit déjeuner; 27/11/2022; 28/11/2022; -99; 4; 1; 2143
Paris; 4; Tente; Donner des cours d anglais, Bricolage; Pas d animaux; Parking, Wifi; Pas de transfert; Pension complète; 5/6/2023; 19/6/2023; -99; 52; 3; 2144
Paris; 3; Cabane dans un arbre; Promener les chiens; ; Wifi, Parking; Pas de transfert; Pension complète; 29/10/2022; 30/10/2022; -99; 16; 1; 2145
Draguignan; 2; Cabane dans un arbre; Babysitting; Non fumeur; Wifi, Balade à cheval; Transfert possible; Demi-pension; 25/8/2023; 26/8/2023; -99; 100; 2; 2146
Chartres; 6; Tente; Jardinage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Pension complète; 10/6/2024; 11/6/2024; -99; 99; 2; 2147
Strasbourg; 3; Cabane dans un arbre; Promener les chiens; ; Wifi, Parking; Transfert possible; Pension complète; 7/11/2023; 14/11/2023; -99; 5; 1; 2148
Moscou; 2; Chambre; Bricolage; ; Blanchissage; Transfert possible; Demi-pension; 28/10/2023; 30/10/2023; -99; 64; 2; 2149
Marseille; 5; Chambre; Jardinage; ; Parking, Balade à cheval, Blanchissage; Pas de transfert; Pension complète; 27/9/2024; 28/9/2024; -99; 52; 1; 2150
Chartres; 5; Tente; Babysitting, Jardinage; Non fumeur; Wifi, Balade à cheval, Blanchissage; Transfert possible; Petit déjeuner; 9/8/2022; 14/8/2022; -99; 74; 1; 2151
Seville; 2; Cabane dans un arbre; Promener les chiens, Bricolage; ; Parking; Pas de transfert; Pension complète; 12/8/2023; 16/8/2023; -99; 48; 2; 2152
Chartres; 3; Tente; Donner des cours d anglais; Non fumeur; Parking; Pas de transfert; Pension complète; 29/1/2023; 30/1/2023; -99; 27; 3; 2153
Strasbourg; 4; Chambre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Parking, Blanchissage; Pas de transfert; Petit déjeuner; 2/11/2024; 19/11/2024; -99; 9; 3; 2154
Berlin; 5; Chambre; Bricolage, Donner des cours d anglais; ; Parking, Piscine; Pas de transfert; Pension complète; 7/8/2023; 19/8/2023; -99; 89; 3; 2155
Strasbourg; 4; Tente; Bricolage; ; Parking; Transfert possible; Demi-pension; 11/5/2023; 16/5/2023; -99; 63; 1; 2156
Draguignan; 4; Cabane dans un arbre; Promener les chiens; ; Balade à cheval, Blanchissage; Pas de transfert; Demi-pension; 2/10/2024; 30/10/2024; -99; 60; 2; 2157
Seville; 6; Cabane dans un arbre; Babysitting, Jardinage; Non fumeur; Parking, Wifi, Balade à cheval; Pas de transfert; Pension complète; 11/9/2024; 22/9/2024; -99; 94; 1; 2158
Marseille; 3; Cabane dans un arbre; Jardinage, Babysitting; ; Piscine; Transfert possible; Petit déjeuner; 13/9/2024; 19/9/2024; -99; 29; 1; 2159
Berlin; 2; Cabane dans un arbre; Promener les chiens, Jardinage; ; Parking, Wifi, Blanchissage; Pas de transfert; Pension complète; 9/2/2024; 25/2/2024; -99; 50; 3; 2160
Chartres; 6; Cabane dans un arbre; Jardinage; ; Wifi, Piscine; Transfert possible; Pension complète; 15/4/2023; 16/4/2023; -99; 66; 3; 2161
Moscou; 3; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Parking; Pas de transfert; Pension complète; 24/7/2024; 25/7/2024; -99; 22; 3; 2162
Draguignan; 5; Tente; Babysitting, Jardinage; Pas d animaux, Non fumeur; Wifi; Pas de transfert; Petit déjeuner; 11/11/2022; 12/11/2022; -99; 59; 1; 2163
Toulouse; 6; Cabane dans un arbre; Babysitting; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Petit déjeuner; 25/2/2024; 26/2/2024; -99; 73; 1; 2164
Draguignan; 5; Cabane dans un arbre; Babysitting, Jardinage; ; Parking, Balade à cheval; Pas de transfert; Pension complète; 9/1/2023; 26/1/2023; -99; 18; 2; 2165
Strasbourg; 6; Chambre; Donner des cours d anglais; Non fumeur; Wifi, Blanchissage; Pas de transfert; Pension complète; 22/12/2024; 23/12/2024; -99; 16; 2; 2166
Toulouse; 4; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; Pas d animaux; Balade à cheval; Transfert possible; Demi-pension; 26/2/2023; 30/2/2023; -99; 58; 1; 2167
Moscou; 3; Chambre; Promener les chiens; Non fumeur; Blanchissage, Parking; Pas de transfert; Demi-pension; 28/12/2022; 29/12/2022; -99; 40; 3; 2168
Draguignan; 3; Cabane dans un arbre; Promener les chiens; Non fumeur, Pas d animaux; Wifi, Blanchissage, Balade à cheval; Pas de transfert; Petit déjeuner; 9/10/2022; 25/10/2022; -99; 54; 1; 2169
Berlin; 6; Tente; Jardinage, Babysitting; ; Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 24/8/2024; 25/8/2024; -99; 76; 3; 2170
Seville; 3; Cabane dans un arbre; Donner des cours d anglais; ; Balade à cheval, Blanchissage; Transfert possible; Demi-pension; 25/7/2022; 26/7/2022; -99; 89; 1; 2171
Berlin; 4; Chambre; Promener les chiens, Donner des cours d anglais; ; Blanchissage; Transfert possible; Demi-pension; 8/6/2023; 24/6/2023; -99; 32; 1; 2172
Chartres; 2; Tente; Babysitting, Promener les chiens; Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 15/12/2022; 16/12/2022; -99; 90; 3; 2173
Moscou; 5; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux; Parking; Pas de transfert; Petit déjeuner; 22/7/2023; 23/7/2023; -99; 30; 3; 2174
Toulouse; 2; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Blanchissage, Parking; Transfert possible; Demi-pension; 2/6/2024; 3/6/2024; -99; 76; 2; 2175
Avignon; 4; Chambre; Jardinage, Donner des cours d anglais; Pas d animaux; Balade à cheval, Piscine, Blanchissage; Pas de transfert; Demi-pension; 18/2/2023; 27/2/2023; -99; 49; 3; 2176
Chartres; 2; Chambre; Donner des cours d anglais; Non fumeur; Wifi, Piscine; Transfert possible; Demi-pension; 8/4/2022; 9/4/2022; -99; 46; 2; 2177
Chartres; 6; Cabane dans un arbre; Jardinage; Non fumeur, Pas d animaux; Wifi; Transfert possible; Demi-pension; 29/9/2022; 30/9/2022; -99; 49; 2; 2178
Strasbourg; 5; Chambre; Promener les chiens, Babysitting; ; Balade à cheval, Parking, Wifi; Transfert possible; Pension complète; 15/10/2023; 16/10/2023; -99; 28; 3; 2179
Moscou; 5; Tente; Bricolage, Jardinage; Pas d animaux, Non fumeur; Wifi; Pas de transfert; Demi-pension; 14/5/2023; 16/5/2023; -99; 60; 3; 2180
Moscou; 6; Tente; Promener les chiens; Pas d animaux; Wifi; Pas de transfert; Petit déjeuner; 8/9/2022; 28/9/2022; -99; 29; 3; 2181
Paris; 2; Cabane dans un arbre; Donner des cours d anglais; Non fumeur, Pas d animaux; Piscine, Parking; Transfert possible; Pension complète; 29/4/2024; 30/4/2024; -99; 93; 3; 2182
Seville; 4; Tente; Donner des cours d anglais, Promener les chiens; ; Piscine, Wifi, Balade à cheval; Pas de transfert; Petit déjeuner; 20/4/2023; 21/4/2023; -99; 63; 1; 2183
Draguignan; 2; Tente; Babysitting; Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 30/10/2022; 31/10/2022; -99; 79; 3; 2184
Chartres; 5; Cabane dans un arbre; Bricolage, Jardinage; Non fumeur, Pas d animaux; Wifi, Blanchissage, Piscine; Transfert possible; Petit déjeuner; 30/12/2022; 31/12/2022; -99; 1; 2; 2185
Chartres; 6; Cabane dans un arbre; Bricolage; ; Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 2/1/2024; 3/1/2024; -99; 32; 1; 2186
Seville; 6; Chambre; Promener les chiens; ; Parking; Transfert possible; Pension complète; 20/6/2023; 27/6/2023; -99; 96; 2; 2187
Toulouse; 4; Tente; Promener les chiens, Bricolage; Pas d animaux; Parking, Blanchissage, Balade à cheval; Transfert possible; Petit déjeuner; 24/6/2022; 25/6/2022; -99; 44; 2; 2188
Strasbourg; 6; Cabane dans un arbre; Jardinage, Promener les chiens; Pas d animaux; Wifi; Transfert possible; Pension complète; 13/8/2022; 19/8/2022; -99; 78; 1; 2189
Paris; 5; Chambre; Jardinage, Donner des cours d anglais; Pas d animaux; Piscine; Pas de transfert; Petit déjeuner; 11/10/2022; 12/10/2022; -99; 49; 1; 2190
Seville; 5; Tente; Bricolage, Babysitting; ; Parking, Piscine, Wifi; Pas de transfert; Demi-pension; 3/9/2022; 10/9/2022; -99; 80; 2; 2191
Chartres; 4; Chambre; Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Blanchissage; Transfert possible; Petit déjeuner; 8/2/2023; 9/2/2023; -99; 3; 2; 2192
Strasbourg; 3; Tente; Donner des cours d anglais, Promener les chiens; Non fumeur, Pas d animaux; Wifi, Piscine; Pas de transfert; Pension complète; 8/9/2022; 13/9/2022; -99; 65; 1; 2193
Draguignan; 2; Cabane dans un arbre; Donner des cours d anglais; ; Parking; Pas de transfert; Demi-pension; 2/3/2023; 22/3/2023; -99; 23; 3; 2194
Toulouse; 2; Cabane dans un arbre; Donner des cours d anglais; ; Parking, Wifi, Piscine; Transfert possible; Petit déjeuner; 4/7/2023; 7/7/2023; -99; 33; 1; 2195
Moscou; 5; Cabane dans un arbre; Promener les chiens, Bricolage; ; Wifi; Pas de transfert; Pension complète; 31/7/2022; 32/7/2022; -99; 100; 2; 2196
Toulouse; 2; Chambre; Donner des cours d anglais, Jardinage; ; Piscine, Blanchissage; Transfert possible; Demi-pension; 2/3/2023; 13/3/2023; -99; 51; 3; 2197
Avignon; 6; Tente; Babysitting, Jardinage; Non fumeur, Pas d animaux; Parking, Balade à cheval; Transfert possible; Pension complète; 17/6/2024; 30/6/2024; -99; 6; 2; 2198
Seville; 4; Cabane dans un arbre; Bricolage, Babysitting; Pas d animaux; Blanchissage, Parking; Pas de transfert; Demi-pension; 24/6/2023; 25/6/2023; -99; 95; 3; 2199
Draguignan; 2; Cabane dans un arbre; Donner des cours d anglais; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 27/12/2023; 28/12/2023; -99; 76; 2; 2200
Moscou; 4; Cabane dans un arbre; Bricolage, Promener les chiens; ; Balade à cheval, Piscine; Pas de transfert; Pension complète; 28/5/2022; 29/5/2022; -99; 57; 3; 2201
Chartres; 6; Chambre; Promener les chiens, Bricolage; Pas d animaux, Non fumeur; Wifi, Balade à cheval; Pas de transfert; Pension complète; 15/6/2023; 16/6/2023; -99; 69; 3; 2202
Berlin; 5; Cabane dans un arbre; Jardinage, Babysitting; Non fumeur; Wifi, Blanchissage, Parking; Pas de transfert; Pension complète; 4/11/2022; 5/11/2022; -99; 77; 2; 2203
Berlin; 5; Cabane dans un arbre; Donner des cours d anglais; ; Piscine; Transfert possible; Demi-pension; 21/5/2022; 22/5/2022; -99; 73; 2; 2204
Avignon; 6; Cabane dans un arbre; Promener les chiens; Pas d animaux; Wifi; Pas de transfert; Demi-pension; 31/12/2023; 32/12/2023; -99; 93; 2; 2205
Chartres; 6; Chambre; Jardinage; Non fumeur; Blanchissage, Balade à cheval, Wifi; Pas de transfert; Pension complète; 25/3/2023; 26/3/2023; -99; 57; 2; 2206
Marseille; 4; Tente; Babysitting, Bricolage; Non fumeur, Pas d animaux; Blanchissage; Pas de transfert; Demi-pension; 17/8/2023; 25/8/2023; -99; 88; 3; 2207
Chartres; 6; Chambre; Babysitting, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Transfert possible; Pension complète; 3/4/2022; 9/4/2022; -99; 64; 1; 2208
Marseille; 6; Cabane dans un arbre; Promener les chiens, Babysitting; Pas d animaux; Parking, Wifi, Balade à cheval; Pas de transfert; Pension complète; 19/11/2024; 30/11/2024; -99; 54; 1; 2209
Chartres; 3; Tente; Babysitting, Promener les chiens; ; Parking, Balade à cheval, Blanchissage; Pas de transfert; Petit déjeuner; 29/1/2023; 30/1/2023; -99; 92; 3; 2210
Draguignan; 2; Chambre; Promener les chiens; Pas d animaux, Non fumeur; Blanchissage, Parking, Wifi; Pas de transfert; Demi-pension; 22/6/2023; 30/6/2023; -99; 86; 3; 2211
Toulouse; 4; Cabane dans un arbre; Promener les chiens, Bricolage; Non fumeur, Pas d animaux; Piscine, Blanchissage; Transfert possible; Petit déjeuner; 15/8/2022; 20/8/2022; -99; 12; 1; 2212
Seville; 3; Tente; Babysitting; Pas d animaux, Non fumeur; Piscine; Pas de transfert; Pension complète; 11/12/2023; 12/12/2023; -99; 92; 2; 2213
Moscou; 6; Chambre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Wifi, Piscine, Balade à cheval; Pas de transfert; Demi-pension; 15/11/2022; 16/11/2022; -99; 73; 3; 2214
Moscou; 5; Chambre; Bricolage; ; Parking, Wifi; Transfert possible; Petit déjeuner; 11/2/2024; 12/2/2024; -99; 83; 1; 2215
Marseille; 6; Chambre; Donner des cours d anglais; ; Piscine; Transfert possible; Petit déjeuner; 6/12/2023; 12/12/2023; -99; 56; 3; 2216
Berlin; 5; Tente; Babysitting; ; Parking, Balade à cheval; Pas de transfert; Petit déjeuner; 1/12/2023; 3/12/2023; -99; 57; 1; 2217
Avignon; 2; Chambre; Jardinage, Bricolage; Non fumeur, Pas d animaux; Piscine; Pas de transfert; Demi-pension; 29/5/2022; 30/5/2022; -99; 12; 1; 2218
Toulouse; 2; Chambre; Babysitting, Jardinage; Pas d animaux; Wifi; Transfert possible; Pension complète; 18/5/2022; 19/5/2022; -99; 35; 2; 2219
Moscou; 4; Cabane dans un arbre; Promener les chiens, Babysitting; ; Wifi, Parking, Piscine; Pas de transfert; Demi-pension; 19/5/2023; 23/5/2023; -99; 23; 1; 2220
Marseille; 6; Cabane dans un arbre; Jardinage, Donner des cours d anglais; Pas d animaux; Balade à cheval, Parking, Piscine; Transfert possible; Demi-pension; 26/5/2024; 27/5/2024; -99; 17; 2; 2221
Toulouse; 2; Cabane dans un arbre; Jardinage; Non fumeur; Blanchissage, Parking, Wifi; Pas de transfert; Petit déjeuner; 25/8/2023; 26/8/2023; -99; 1; 2; 2222
Seville; 6; Chambre; Jardinage, Promener les chiens; ; Piscine; Pas de transfert; Demi-pension; 8/3/2023; 18/3/2023; -99; 84; 1; 2223
Marseille; 2; Tente; Babysitting; Pas d animaux; Wifi; Transfert possible; Demi-pension; 24/12/2023; 25/12/2023; -99; 3; 2; 2224
Strasbourg; 4; Chambre; Babysitting; Non fumeur, Pas d animaux; Piscine, Wifi; Pas de transfert; Petit déjeuner; 14/2/2023; 15/2/2023; -99; 6; 1; 2225
Moscou; 3; Chambre; Donner des cours d anglais, Bricolage; ; Parking, Balade à cheval, Wifi; Pas de transfert; Petit déjeuner; 11/6/2022; 20/6/2022; -99; 96; 3; 2226
Marseille; 5; Chambre; Promener les chiens, Jardinage; Non fumeur; Balade à cheval, Piscine; Transfert possible; Pension complète; 11/1/2023; 24/1/2023; -99; 22; 3; 2227
Marseille; 5; Tente; Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 28/5/2024; 29/5/2024; -99; 45; 3; 2228
Berlin; 2; Chambre; Bricolage, Donner des cours d anglais; ; Piscine, Parking; Transfert possible; Pension complète; 17/12/2022; 18/12/2022; -99; 25; 1; 2229
Toulouse; 4; Tente; Promener les chiens, Bricolage; Non fumeur; Balade à cheval, Piscine, Wifi; Pas de transfert; Demi-pension; 4/7/2022; 11/7/2022; -99; 15; 2; 2230
Marseille; 2; Chambre; Bricolage, Promener les chiens; ; Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 11/5/2023; 15/5/2023; -99; 31; 2; 2231
Marseille; 2; Tente; Babysitting; Non fumeur, Pas d animaux; Parking, Piscine, Balade à cheval; Pas de transfert; Pension complète; 21/7/2022; 26/7/2022; -99; 76; 1; 2232
Seville; 6; Chambre; Promener les chiens, Bricolage; ; Wifi; Pas de transfert; Pension complète; 17/1/2023; 18/1/2023; -99; 76; 3; 2233
Chartres; 2; Tente; Jardinage; ; Blanchissage, Wifi, Piscine; Transfert possible; Petit déjeuner; 19/9/2024; 24/9/2024; -99; 76; 3; 2234
Seville; 2; Chambre; Jardinage; ; Piscine, Wifi, Balade à cheval; Pas de transfert; Pension complète; 30/4/2022; 31/5/2022; -99; 19; 3; 2235
Berlin; 2; Tente; Donner des cours d anglais; Pas d animaux; Piscine, Blanchissage, Wifi; Pas de transfert; Pension complète; 26/7/2023; 27/7/2023; -99; 6; 3; 2236
Seville; 5; Cabane dans un arbre; Bricolage, Babysitting; ; Piscine; Transfert possible; Pension complète; 23/6/2022; 24/6/2022; -99; 3; 2; 2237
Moscou; 4; Cabane dans un arbre; Bricolage, Jardinage; Pas d animaux; Wifi, Balade à cheval, Piscine; Transfert possible; Demi-pension; 19/12/2024; 20/12/2024; -99; 58; 1; 2238
Berlin; 4; Tente; Jardinage, Bricolage; Non fumeur; Parking; Pas de transfert; Demi-pension; 11/6/2022; 31/6/2022; -99; 31; 2; 2239
Paris; 3; Chambre; Donner des cours d anglais, Promener les chiens; Non fumeur; Piscine; Transfert possible; Pension complète; 7/9/2022; 20/9/2022; -99; 25; 3; 2240
Draguignan; 6; Cabane dans un arbre; Promener les chiens, Donner des cours d anglais; Non fumeur, Pas d animaux; Blanchissage; Transfert possible; Pension complète; 18/9/2022; 19/9/2022; -99; 20; 2; 2241
Paris; 2; Chambre; Bricolage, Donner des cours d anglais; Pas d animaux; Blanchissage; Transfert possible; Petit déjeuner; 15/9/2023; 18/9/2023; -99; 11; 2; 2242
Moscou; 6; Chambre; Bricolage; ; Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 11/4/2024; 18/4/2024; -99; 94; 3; 2243
Strasbourg; 4; Chambre; Bricolage; ; Piscine; Transfert possible; Demi-pension; 15/4/2022; 26/4/2022; -99; 66; 3; 2244
Paris; 3; Chambre; Babysitting, Bricolage; Pas d animaux; Wifi, Piscine, Balade à cheval; Transfert possible; Pension complète; 1/2/2023; 19/2/2023; -99; 64; 2; 2245
Avignon; 4; Tente; Babysitting, Promener les chiens; Non fumeur; Wifi, Parking; Transfert possible; Pension complète; 15/5/2022; 16/5/2022; -99; 23; 2; 2246
Avignon; 4; Tente; Donner des cours d anglais, Bricolage; Pas d animaux; Piscine, Blanchissage, Balade à cheval; Transfert possible; Demi-pension; 9/9/2024; 10/9/2024; -99; 30; 3; 2247
Moscou; 4; Tente; Jardinage; Non fumeur; Blanchissage, Parking; Transfert possible; Demi-pension; 7/10/2022; 25/10/2022; -99; 95; 1; 2248
Strasbourg; 3; Tente; Bricolage; ; Wifi, Blanchissage; Pas de transfert; Pension complète; 27/8/2023; 28/8/2023; -99; 48; 3; 2249
Toulouse; 3; Cabane dans un arbre; Promener les chiens, Donner des cours d anglais; Non fumeur; Piscine; Pas de transfert; Petit déjeuner; 19/6/2022; 20/6/2022; -99; 46; 3; 2250
Chartres; 3; Tente; Bricolage; ; Balade à cheval, Blanchissage; Transfert possible; Pension complète; 23/4/2022; 24/4/2022; -99; 42; 2; 2251
Seville; 4; Chambre; Babysitting; Pas d animaux; Wifi; Transfert possible; Petit déjeuner; 30/5/2023; 31/5/2023; -99; 35; 2; 2252
Berlin; 5; Cabane dans un arbre; Babysitting, Bricolage; Pas d animaux; Wifi; Transfert possible; Pension complète; 28/4/2022; 29/4/2022; -99; 80; 3; 2253
Seville; 3; Chambre; Babysitting; Pas d animaux, Non fumeur; Blanchissage; Pas de transfert; Petit déjeuner; 15/3/2024; 16/3/2024; -99; 94; 3; 2254
Strasbourg; 2; Tente; Babysitting, Donner des cours d anglais; Pas d animaux, Non fumeur; Piscine, Balade à cheval; Transfert possible; Petit déjeuner; 14/7/2022; 17/7/2022; -99; 96; 2; 2255
Draguignan; 3; Tente; Promener les chiens, Babysitting; Non fumeur; Parking, Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 15/12/2022; 16/12/2022; -99; 92; 1; 2256
Chartres; 3; Tente; Promener les chiens; Pas d animaux; Wifi, Blanchissage, Piscine; Pas de transfert; Petit déjeuner; 1/5/2023; 22/5/2023; -99; 65; 3; 2257
Moscou; 2; Chambre; Promener les chiens; Non fumeur; Piscine, Blanchissage, Wifi; Pas de transfert; Petit déjeuner; 1/2/2023; 7/2/2023; -99; 66; 1; 2258
Moscou; 5; Cabane dans un arbre; Jardinage; ; Wifi, Balade à cheval, Parking; Transfert possible; Pension complète; 3/7/2022; 5/7/2022; -99; 98; 3; 2259
Moscou; 3; Chambre; Donner des cours d anglais; ; Wifi; Pas de transfert; Petit déjeuner; 15/6/2024; 18/6/2024; -99; 45; 3; 2260
Paris; 6; Chambre; Donner des cours d anglais; Pas d animaux; Blanchissage, Piscine, Wifi; Transfert possible; Pension complète; 3/8/2022; 4/8/2022; -99; 9; 2; 2261
Avignon; 2; Chambre; Donner des cours d anglais, Jardinage; ; Piscine, Blanchissage; Pas de transfert; Petit déjeuner; 11/10/2023; 12/10/2023; -99; 93; 3; 2262
Seville; 6; Tente; Promener les chiens; Non fumeur, Pas d animaux; Parking; Transfert possible; Pension complète; 30/7/2023; 31/7/2023; -99; 55; 2; 2263
Seville; 2; Chambre; Donner des cours d anglais, Babysitting; Non fumeur; Piscine, Parking; Pas de transfert; Petit déjeuner; 25/11/2023; 26/11/2023; -99; 84; 3; 2264
Moscou; 5; Chambre; Promener les chiens, Jardinage; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Pension complète; 4/5/2024; 21/5/2024; -99; 1; 2; 2265
Moscou; 5; Tente; Babysitting; Non fumeur; Balade à cheval, Parking, Piscine; Transfert possible; Pension complète; 2/1/2024; 14/1/2024; -99; 19; 3; 2266
Seville; 3; Tente; Donner des cours d anglais, Babysitting; ; Balade à cheval; Pas de transfert; Demi-pension; 14/5/2024; 15/5/2024; -99; 86; 1; 2267
Berlin; 6; Cabane dans un arbre; Babysitting; ; Blanchissage; Transfert possible; Petit déjeuner; 20/7/2022; 21/7/2022; -99; 77; 1; 2268
Chartres; 5; Chambre; Donner des cours d anglais; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Demi-pension; 15/7/2024; 19/7/2024; -99; 18; 1; 2269
Berlin; 4; Cabane dans un arbre; Bricolage, Donner des cours d anglais; Pas d animaux, Non fumeur; Wifi; Transfert possible; Petit déjeuner; 23/1/2023; 24/1/2023; -99; 10; 3; 2270
Paris; 6; Tente; Bricolage, Promener les chiens; Pas d animaux; Parking; Pas de transfert; Demi-pension; 12/10/2022; 13/10/2022; -99; 55; 1; 2271
Seville; 2; Tente; Donner des cours d anglais; Non fumeur; Blanchissage, Wifi; Transfert possible; Petit déjeuner; 6/8/2024; 27/8/2024; -99; 16; 1; 2272
Seville; 4; Cabane dans un arbre; Promener les chiens, Jardinage; ; Balade à cheval, Blanchissage; Transfert possible; Demi-pension; 15/5/2023; 21/5/2023; -99; 25; 2; 2273
Chartres; 6; Cabane dans un arbre; Promener les chiens; Pas d animaux; Parking; Pas de transfert; Demi-pension; 16/8/2022; 17/8/2022; -99; 78; 3; 2274
Avignon; 6; Tente; Babysitting; Non fumeur, Pas d animaux; Balade à cheval; Pas de transfert; Petit déjeuner; 9/3/2023; 26/3/2023; -99; 88; 3; 2275
Berlin; 4; Tente; Babysitting; Non fumeur; Wifi, Balade à cheval, Parking; Pas de transfert; Petit déjeuner; 22/1/2023; 25/1/2023; -99; 66; 2; 2276
Strasbourg; 6; Cabane dans un arbre; Jardinage; Pas d animaux, Non fumeur; Balade à cheval, Piscine, Blanchissage; Transfert possible; Demi-pension; 7/3/2023; 17/3/2023; -99; 100; 1; 2277
Moscou; 4; Tente; Promener les chiens, Bricolage; Non fumeur; Parking; Pas de transfert; Pension complète; 20/3/2024; 28/3/2024; -99; 72; 3; 2278
Avignon; 4; Chambre; Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Pension complète; 17/11/2024; 29/11/2024; -99; 7; 2; 2279
Draguignan; 6; Tente; Babysitting; Pas d animaux; Balade à cheval; Transfert possible; Demi-pension; 6/5/2022; 22/5/2022; -99; 81; 1; 2280
Marseille; 6; Cabane dans un arbre; Jardinage, Bricolage; ; Parking; Pas de transfert; Pension complète; 29/11/2023; 30/11/2023; -99; 26; 2; 2281
Berlin; 5; Cabane dans un arbre; Jardinage, Bricolage; Pas d animaux, Non fumeur; Balade à cheval; Pas de transfert; Demi-pension; 11/10/2024; 12/10/2024; -99; 17; 1; 2282
Strasbourg; 5; Tente; Jardinage; Pas d animaux, Non fumeur; Wifi, Blanchissage, Piscine; Pas de transfert; Pension complète; 28/3/2023; 29/3/2023; -99; 41; 2; 2283
Draguignan; 4; Tente; Donner des cours d anglais; ; Parking, Balade à cheval, Wifi; Transfert possible; Demi-pension; 25/7/2022; 30/7/2022; -99; 10; 1; 2284
Avignon; 5; Cabane dans un arbre; Donner des cours d anglais, Promener les chiens; Pas d animaux; Blanchissage, Parking, Balade à cheval; Transfert possible; Pension complète; 11/1/2024; 16/1/2024; -99; 76; 1; 2285
Paris; 4; Chambre; Jardinage; Non fumeur; Parking, Balade à cheval, Wifi; Transfert possible; Petit déjeuner; 24/6/2023; 25/6/2023; -99; 53; 1; 2286
Paris; 2; Tente; Jardinage; Pas d animaux; Piscine, Parking; Transfert possible; Petit déjeuner; 16/4/2022; 17/4/2022; -99; 18; 2; 2287
Toulouse; 4; Cabane dans un arbre; Babysitting, Jardinage; Pas d animaux, Non fumeur; Blanchissage, Wifi, Parking; Transfert possible; Pension complète; 2/9/2022; 11/9/2022; -99; 40; 2; 2288
Berlin; 3; Chambre; Donner des cours d anglais, Jardinage; ; Blanchissage, Parking, Balade à cheval; Pas de transfert; Petit déjeuner; 29/9/2024; 30/9/2024; -99; 33; 1; 2289
